Date,Open,High,Low,Close,Volume
26-Jan-17,30050.00,30800.00,29700.00,30250.00,2794878
25-Jan-17,32000.00,32200.00,30350.00,30400.00,3619738
24-Jan-17,33000.00,33150.00,31450.00,31750.00,2599989
23-Jan-17,32300.00,32750.00,32100.00,32500.00,1610455
20-Jan-17,31300.00,32100.00,31000.00,32050.00,1248094
19-Jan-17,31550.00,31800.00,30800.00,31250.00,1021982
18-Jan-17,31150.00,31600.00,31050.00,31550.00,1012390
17-Jan-17,31000.00,31400.00,30900.00,31200.00,886311
16-Jan-17,32150.00,32200.00,30600.00,30850.00,1645584
13-Jan-17,31800.00,32000.00,31500.00,31950.00,1086816
12-Jan-17,32500.00,32600.00,32000.00,32000.00,1474708
11-Jan-17,31800.00,32300.00,31500.00,32100.00,1872016
10-Jan-17,32200.00,32350.00,31450.00,31600.00,1177221
9-Jan-17,31800.00,32250.00,31700.00,32100.00,1662964
6-Jan-17,31750.00,31950.00,31550.00,31650.00,915048
5-Jan-17,31550.00,31700.00,31100.00,31500.00,1049385
4-Jan-17,31950.00,32250.00,31100.00,31450.00,1294116
3-Jan-17,31300.00,31900.00,31250.00,31750.00,1346730
2-Jan-17,31200.00,31300.00,30750.00,31150.00,1155583
29-Dec-16,31450.00,31600.00,31050.00,31450.00,842054
28-Dec-16,31350.00,31850.00,31050.00,31800.00,1160551
27-Dec-16,32000.00,32100.00,31200.00,31400.00,1071530
26-Dec-16,31500.00,32000.00,31300.00,32000.00,1077985
23-Dec-16,31600.00,31700.00,30850.00,31300.00,1167850
22-Dec-16,31900.00,32400.00,31350.00,31400.00,1725354
21-Dec-16,30750.00,31900.00,30700.00,31500.00,1748948
20-Dec-16,30550.00,30700.00,30250.00,30550.00,719689
19-Dec-16,31200.00,31250.00,30350.00,30500.00,965702
16-Dec-16,30800.00,31600.00,30650.00,30900.00,1467522
15-Dec-16,30400.00,31200.00,30250.00,30950.00,1628488
